Zip_code, Sample_traffic_volume, Number_of_Samples
11231,26598,12
11215,13299,6
10038,47638,12
10002,23819,6
10010,76732,4
10037,38366,2
10023,133731,9
10010,463870,4
10035,231935,2
11357,16343,5
11435,16343,5
11354,16343,5
11215,97406,10
10014,131372,10
10027,67208,10
10019,33604,5
11218,39294,6
11214,39294,6
11220;11204,39294,6
10451,11030,5
10455,11030,5
10459,11030,5
11435,331081,9
10463,331081,9
11415,331081,9
11423,34724,6
11101,34724,6
11428,34724,6
10025,100472,4
10040,50236,2
10033,15337,6
10468,15337,6
12603,15337,6
10458,24044,6
12209,12022,3
10009,166758,10
10035,83379,5
10306,58913,6
10314,117826,12
10115,15936,3
10013,15936,3
10009,15936,3
10040,55587,5
10032,111174,10
10021,232568,6
10035,116284,3
10025,27209,6
10026,27209,6
12208,27209,6
11209,48822,14
11228,24411,7
10014,41184,12
11234,20592,6
10461,4498,6
10469,8996,12
11239,135102,10
11207,135102,10
11208,135102,10
11233,30499,8
11358,41659,7
11423,41659,7
11212,41659,7
11375,21250,6
11379,21250,6
11385,21250,6
11211,65344,8
11226,32672,4
11220,33950,10
10019,16975,5
11235,35606,6
10014,35606,6
11224,35606,6
10032,90248,10
10040,45124,5
10035,180751,6
10016,180751,6
11208,180751,6
10306,104915,2
10474,104915,2
10454,104915,2
11204,207064,12
10128,103532,6
10009,87310,12
11226,43655,6
10026,80872,10
10040,40436,5
11203,20292,5
12204,20292,5
12401,20292,5
11361,949,7
11427,949,7
11412,949,7
10003,65930,12
11234,32965,6
10017,367072,6
10035,183536,3
10029,105044,4
10035,52522,2
10457,130082,12
10465,65041,6
10003,62485,2
10009,62485,2
10115,62485,2
11413,2190,6
11366,2190,6
11364,2190,6
11207,91530,10
11208,45765,5
11204,59555,6
11220,59555,6
10016,59555,6
11222,6445,10
10115,128055,6
10471,128055,6
10013,128055,6
10032,80622,10
10040,40311,5
11418,34659,3
11420,34659,3
10037,34659,3
11214,1557,3
11102,1557,3
11235,1557,3
10462,76831,6
10469,153662,12
10036,162712,4
10019,81356,2
10451,31989,5
10455,31989,5
11251,31989,5
10003,49640,6
10456,49640,6
11226,49640,6
10312,29580,9
11102,52073,7
11214,52073,7
11224,52073,7
10115,67822,2
10010,67822,2
10037,67822,2
11226,15516,5
10010,15516,5
11203,15516,5
11378,42758,6
11234,21379,3
10022,62956,5
11234,125912,10
10001,135048,4
10019,67524,2
12601,84180,6
10035,84180,6
10115,84180,6
10019,74120,6
11228,74120,6
11223,74120,6
11362,36726,12
11374,18363,6
10458,81586,20
11101,31047,6
11218,31047,6
10037,31047,6
11209,227768,16
11208,113884,8
10013,54015,3
10007,54015,3
10012,54015,3
10460,21782,5
10475,21782,5
11221,21782,5
10012,30510,6
13207,30510,6
10305,30510,6
11209,139868,14
11230,69934,7
10011,19466,6
11228,19466,6
11218; 11232,19466,6
10115,45978,3
10012,45978,3
10013,45978,3
11435,33067,6
11422,66134,12
11203,62686,10
10016,31343,5
10305,19028,12
10308,9514,6
10040,37838,18
11361,78588,12
10314,39294,6
10009,65974,10
11234,32987,5
10001,155912,4
10019,77956,2
10128,45543,6
11209,45543,6
11101,45543,6
11224,57660,12
10014,28830,6
11233,104472,6
10301,104472,6
10305,104472,6
11435; 11208,10977,3
11419,10977,3
11435,10977,3
10301,45348,12
10314,22674,6
10019,38653,7
11228,38653,7
11224,38653,7
10023,137566,4
10040,68783,2
11217,180590,12
10016,90295,6
10016,44111,6
11203,44111,6
11226,44111,6
11434,366896,16
11208,183448,8
10463,354520,24
10033,177260,12
11435,165780,14
11419,82890,7
11207,252356,18
11208,126178,9
11221,49062,9
11216,49062,9
11237,49062,9
11209,60540,10
11419,30270,5
10309,31392,12
10312,15696,6
11208,99514,16
11001,49757,8
10115,40839,6
10013,40839,6
10007,40839,6
10014,67684,14
11229,33842,7
10461,10764,6
10314,5382,3
10314,33294,6
10303,16647,3
10010,175632,10
10016,87816,5
11433,3971,3
11435,3971,3
11412,3971,3
10013,177911,9
10003,78050,6
11234,39025,3
10038,1498,2
11234,1498,2
10011,1498,2
11102,50710,3
11101,50710,3
10035,50710,3
11102,227104,3
11101,227104,3
11215,227104,3
10115,60428,2
10036,60428,2
10019,60428,2
11101,32875,3
11102,32875,3
10035,32875,3
11209,29220,16
11417; 11208,14610,8
10037,29480,2
10019,29480,2
10018,29480,2
10469,136584,12
12205,68292,6
10035,132538,8
11222,191900,20
11385,38780,5
11364,38780,5
11432,38780,5
10039,48754,5
10031,48754,5
10019,48754,5
10013,874,6
10471,437,3
10014,92306,6
10013,46153,3
11214,8950,6
11232; 11204,4475,3
10306,118324,9
11101,42068,5
11377,42068,5
11215,42068,5
10457,38769,5
10460,38769,5
10469,38769,5
11691,90470,16
11385,45235,8
11229,87122,12
11235,43561,6
11209,64810,12
11218,32405,6
10003,30558,7
10009,30558,7
11203,30558,7
10017,293846,6
10035,146923,3
10471,119992,12
10115,59996,6
10009,28983,7
10003,28983,7
11236,28983,7
10465,20692,10
10460,10346,5
11235,61146,6
10009,61146,6
11229,61146,6
11218,88160,6
11214,88160,6
11204,88160,6
11238,38191,4
11225,38191,4
11221,38191,4
10036,114992,4
10011,57496,2
10460,3910,3
11218,3910,3
10457,3910,3
10010,92994,4
10037,46497,2
10039,75282,10
10019,37641,5
11362,61309,20
10471,21033,3
10301,42066,6
10002,11523,3
10038,23046,6
10451,76712,12
12206,38356,6
10009,156714,4
10035,78357,2
10022,284324,14
10128,142162,7
10021,158848,12
11208,79424,6
11412,23315,3
11433,23315,3
11413,23315,3
10029,52826,2
10128,52826,2
10017,52826,2
10303,44936,6
11222,44936,6
11211,44936,6
10034,41885,6
12110,41885,6
10035,41885,6
11214,81450,14
11224,40725,7
11432,28738,5
11426,28738,5
10977,28738,5
11428,35055,7
11413,35055,7
11426,35055,7
10017,12896,4
11234,6448,2
10005,42780,3
10004,42780,3
10115,42780,3
10451,92918,5
10128,92918,5
10037,92918,5
10019,99974,7
10011,99974,7
11204,99974,7
11214,21498,11
10019,18177,6
10032,18177,6
10030,18177,6
10037,19463,2
10115,19463,2
10001,19463,2
11937,49553,4
11208,99106,8
11212,54556,12
12401,27278,6
10455,15541,2
10451,15541,2
12206,15541,2
10011,68126,14
11220;11204,34063,7
11433,145962,12
11422,72981,6
10115,23325,3
10012,23325,3
10002,23325,3
11216,34606,6
11233,34606,6
11226,34606,6
11412,25727,3
11433,25727,3
11413,25727,3
11238,41624,3
11233,41624,3
11216,41624,3
10025,71390,4
14220,35695,2
11234,51417,6
11229,51417,6
11226,51417,6
10003,61992,12
